t(ticks) ; id_viat ; destin ; t_estacion ; t_vida ; observ
    5614 ;      12 ;    N   ;        240 ;      ? ; entrada
    5682 ;      12 ;    N   ;        240 ;   2966 ; saida
    6424 ;      15 ;    N   ;        280 ;      ? ; entrada
    6464 ;      15 ;    N   ;        280 ;   4884 ; saida
    6859 ;       6 ;    S   ;        120 ;      ? ; entrada
    6895 ;       6 ;    S   ;        120 ;   6014 ; saida
    7065 ;       0 ;    N   ;        280 ;      ? ; entrada
    7100 ;       0 ;    N   ;        280 ;   7210 ; saida
    7235 ;       9 ;    E   ;        200 ;      ? ; entrada
    7296 ;       9 ;    E   ;        200 ;   6071 ; saida
    7456 ;       5 ;    N   ;        160 ;      ? ; entrada
    7490 ;       5 ;    N   ;        160 ;   6742 ; saida
    7541 ;       3 ;    E   ;        400 ;      ? ; entrada
    7558 ;       3 ;    E   ;        400 ;   7450 ; saida
    7906 ;      31 ;    S   ;        240 ;      ? ; entrada
    7925 ;      31 ;    S   ;        240 ;   4970 ; saida
    7996 ;      14 ;    S   ;        280 ;      ? ; entrada
    8012 ;      14 ;    S   ;        280 ;   5419 ; saida
    8158 ;      50 ;    S   ;        280 ;      ? ; entrada
    8341 ;      50 ;    S   ;        280 ;   4207 ; saida
    8477 ;      32 ;    S   ;        320 ;      ? ; entrada
    8514 ;      32 ;    S   ;        320 ;   5542 ; saida
    9398 ;       7 ;    E   ;         40 ;      ? ; entrada
    9461 ;       7 ;    E   ;         40 ;   8337 ; saida
    9633 ;      20 ;    S   ;        160 ;      ? ; entrada
    9682 ;      20 ;    S   ;        160 ;   7555 ; saida
    5379 ;       8 ;    S   ;        240 ;      ? ; entrada
    9858 ;       8 ;    S   ;        240 ;   8808 ; saida
    9945 ;       2 ;    E   ;        400 ;      ? ; entrada
    9977 ;       2 ;    E   ;        400 ;   9994 ; saida
   11044 ;      11 ;    E   ;         40 ;      ? ; entrada
   11084 ;      11 ;    E   ;         40 ;   9520 ; saida
   11240 ;       1 ;    O   ;         80 ;      ? ; entrada
   11277 ;       1 ;    O   ;         80 ;  11022 ; saida
   12504 ;      51 ;    S   ;        160 ;      ? ; entrada
   12525 ;      51 ;    S   ;        160 ;   8104 ; saida
   12594 ;      68 ;    S   ;         40 ;      ? ; entrada
   12622 ;      68 ;    S   ;         40 ;   6723 ; saida
   12691 ;      71 ;    N   ;        240 ;      ? ; entrada
   12713 ;      71 ;    N   ;        240 ;   6738 ; saida
   12774 ;       4 ;    O   ;         80 ;      ? ; entrada
   12790 ;      38 ;    S   ;        320 ;      ? ; entrada
   12808 ;      38 ;    S   ;        320 ;   4916 ; saida
   12861 ;      39 ;    S   ;        120 ;      ? ; entrada
   12880 ;      39 ;    S   ;        120 ;   4755 ; saida
   12986 ;      45 ;    S   ;         80 ;      ? ; entrada
   12998 ;      45 ;    S   ;         80 ;   4388 ; saida
   13043 ;      48 ;    S   ;        240 ;      ? ; entrada
   13054 ;      48 ;    S   ;        240 ;   4401 ; saida
   13091 ;      36 ;    N   ;        400 ;      ? ; entrada
   13101 ;      36 ;    N   ;        400 ;   6286 ; saida
   13117 ;      10 ;    O   ;        400 ;      ? ; entrada
   14185 ;      13 ;    O   ;        200 ;      ? ; entrada
   14244 ;      13 ;    O   ;        200 ;  12736 ; saida
   14406 ;      18 ;    E   ;        280 ;      ? ; entrada
   14432 ;      18 ;    E   ;        280 ;  12079 ; saida
   14516 ;      17 ;    O   ;        120 ;      ? ; entrada
   14543 ;      17 ;    O   ;        120 ;  12647 ; saida
   14627 ;      10 ;    O   ;        400 ;  13518 ; saida
   14711 ;       4 ;    O   ;         80 ;  14029 ; saida
   14834 ;      33 ;    N   ;        240 ;      ? ; entrada
   14854 ;      29 ;    N   ;         40 ;      ? ; entrada
   14872 ;      33 ;    N   ;        240 ;   7041 ; saida
   14890 ;      29 ;    N   ;         40 ;  11834 ; saida
   14991 ;      35 ;    N   ;        280 ;      ? ; entrada
   15013 ;      35 ;    N   ;        280 ;   7185 ; saida
   15099 ;      79 ;    S   ;        320 ;      ? ; entrada
   15120 ;      79 ;    S   ;        320 ;   5401 ; saida
   15213 ;      78 ;    S   ;         40 ;      ? ; entrada
   15304 ;      78 ;    S   ;         40 ;   5368 ; saida
   15342 ;      82 ;    S   ;        280 ;      ? ; entrada
   15354 ;      82 ;    S   ;        280 ;   5413 ; saida
   15442 ;      26 ;    S   ;        400 ;      ? ; entrada
   15459 ;      26 ;    S   ;        400 ;   6822 ; saida
   15495 ;      76 ;    S   ;        400 ;      ? ; entrada
   15503 ;      76 ;    S   ;        400 ;   6097 ; saida
   15536 ;      25 ;    S   ;        160 ;      ? ; entrada
   15543 ;      25 ;    S   ;        160 ;   6305 ; saida
   15578 ;      70 ;    N   ;        320 ;      ? ; entrada
   15641 ;      70 ;    N   ;        320 ;   9827 ; saida
   15705 ;      55 ;    N   ;        240 ;      ? ; entrada
   15727 ;      69 ;    E   ;         80 ;      ? ; entrada
   15737 ;      55 ;    N   ;        240 ;  11088 ; saida
   15748 ;      69 ;    E   ;         80 ;   9782 ; saida
   15887 ;      98 ;    S   ;        360 ;      ? ; entrada
