t(ticks) ; nlug ; id_viat ; observ
     491 ;    1 ;       3 ; estacionamento
     913 ;    0 ;       3 ; saida
    1009 ;    1 ;       2 ; estacionamento
    1154 ;    0 ;       2 ; saida
    1189 ;    1 ;       1 ; estacionamento
    1246 ;    0 ;       1 ; saida
    1274 ;    1 ;       6 ; estacionamento
    1532 ;    0 ;       6 ; saida
    1565 ;    1 ;       4 ; estacionamento
    1625 ;    0 ;       4 ; saida
    1653 ;    1 ;       5 ; estacionamento
    1948 ;    0 ;       5 ; saida
    1981 ;    1 ;       7 ; estacionamento
    2038 ;    0 ;       7 ; saida
    2064 ;    1 ;       0 ; estacionamento
    2241 ;    0 ;       0 ; saida
    3480 ;    1 ;      19 ; estacionamento
    3725 ;    0 ;      19 ; saida
    3762 ;    1 ;      14 ; estacionamento
    3868 ;    2 ;      10 ; estacionamento
    4014 ;    1 ;      10 ; saida
    4032 ;    0 ;      14 ; saida
    4040 ;    1 ;       9 ; estacionamento
    4058 ;    2 ;      20 ; estacionamento
    4341 ;    1 ;       9 ; saida
    4363 ;    2 ;      15 ; estacionamento
    4438 ;    1 ;      20 ; saida
    4459 ;    2 ;      30 ; estacionamento
    4475 ;    3 ;      13 ; estacionamento
    4601 ;    2 ;      30 ; saida
    4621 ;    3 ;      34 ; estacionamento
    4695 ;    2 ;      13 ; saida
    4719 ;    3 ;       8 ; estacionamento
    4761 ;    2 ;      34 ; saida
    4782 ;    3 ;      37 ; estacionamento
    4816 ;    2 ;       8 ; saida
    4838 ;    3 ;      12 ; estacionamento
    5080 ;    2 ;      37 ; saida
    5094 ;    1 ;      15 ; saida
    5176 ;    0 ;      12 ; saida
    5198 ;    1 ;      11 ; estacionamento
    5417 ;    0 ;      11 ; saida
    6298 ;    1 ;      18 ; estacionamento
    6676 ;    0 ;      18 ; saida
    6745 ;    1 ;      21 ; estacionamento
    6841 ;    2 ;      16 ; estacionamento
    6886 ;    3 ;      22 ; estacionamento
    7093 ;    2 ;      21 ; saida
    7132 ;    3 ;      23 ; estacionamento
    7218 ;    2 ;      22 ; saida
    7254 ;    3 ;      26 ; estacionamento
    7284 ;    2 ;      16 ; saida
    7322 ;    3 ;      39 ; estacionamento
    7514 ;    2 ;      39 ; saida
    7522 ;    1 ;      23 ; saida
    7559 ;    2 ;      24 ; estacionamento
    7688 ;    1 ;      26 ; saida
    7719 ;    2 ;      25 ; estacionamento
    7791 ;    1 ;      24 ; saida
    7816 ;    2 ;      27 ; estacionamento
    8022 ;    3 ;      17 ; estacionamento
    8065 ;    4 ;      29 ; estacionamento
    8214 ;    3 ;      29 ; saida
